"index","company_id","industry"
"0","189","Health"
"1","848","Fintech"
"2","556","Internet software & services"
"3","999","Internet software & services"
"4","396","Fintech"
"5","931","Consumer & retail"
"6","364","E-commerce & direct-to-consumer"
"7","732","Fintech"
"8","906","Hardware"
"9","72","Hardware"
"10","983","Fintech"
"11","898","Internet software & services"
"12","844","Fintech"
"13","894","Fintech"
"14","813","Fintech"
"15","743","Other"
"16","226","Mobile & telecommunications"
"17","963","Fintech"
"18","764","Fintech"
"19","839","E-commerce & direct-to-consumer"
"20","1033","Internet software & services"
"21","725","Health"
"22","549","Artificial intelligence"
"23","667","Mobile & telecommunications"
"24","755","Fintech"
"25","782","Fintech"
"26","175","Fintech"
"27","398","Fintech"
"28","814","E-commerce & direct-to-consumer"
"29","436","Artificial intelligence"
"30","1046","Artificial intelligence"
"31","565","Artificial intelligence"
"32","781","Internet software & services"
"33","997","E-commerce & direct-to-consumer"
"34","194","Internet software & services"
"35","249","Fintech"
"36","434","Auto & transportation"
"37","1035","Cybersecurity"
"38","969","Data management & analytics"
"39","1018","Other"
"40","355","Internet software & services"
"41","934","E-commerce & direct-to-consumer"
"42","1054","Fintech"
"43","901","Cybersecurity"
"44","173","Internet software & services"
"45","738","Fintech"
"46","422","Internet software & services"
"47","830","Health"
"48","1004","Other"
"49","951","E-commerce & direct-to-consumer"
"50","734","Internet software & services"
"51","1063","Fintech"
"52","623","Fintech"
"53","846","Data management & analytics"
"54","823","Fintech"
"55","944","Fintech"
"56","1030","Artificial intelligence"
"57","824","E-commerce & direct-to-consumer"
"58","930","Internet software & services"
"59","370","Data management & analytics"
"60","618","E-commerce & direct-to-consumer"
"61","456","Cybersecurity"
"62","893","E-commerce & direct-to-consumer"
"63","812","Other"
"64","1001","Other"
"65","703","Cybersecurity"
"66","884","Health"
"67","404","Cybersecurity"
"68","952","Internet software & services"
"69","625","Internet software & services"
"70","971","Internet software & services"
"71","796","Edtech"
"72","909","Fintech"
"73","587","Artificial intelligence"
"74","273","Health"
"75","771","Internet software & services"
"76","758","Internet software & services"
"77","652","Internet software & services"
"78","8","Consumer & retail"
"79","760","Mobile & telecommunications"
"80","394","Health"
"81","393","Fintech"
"82","870","Other"
"83","804","Artificial intelligence"
"84","1041","Internet software & services"
"85","443","Artificial intelligence"
"86","978","Internet software & services"
"87","612","Auto & transportation"
"88","714","Mobile & telecommunications"
"89","925","Fintech"
"90","421","Internet software & services"
"91","449","Fintech"
"92","1022","Supply chain, logistics, & delivery"
"93","240","Other"
"94","644","Supply chain, logistics, & delivery"
"95","718","Fintech"
"96","920","Fintech"
"97","1048","Health"
"98","1024","Artificial intelligence"
"99","929","Artificial intelligence"
"100","751","Internet software & services"
"101","1012","Other"
"102","863","Artificial intelligence"
"103","662","Fintech"
"104","1027","Fintech"
"105","783","Fintech"
"106","592","Cybersecurity"
"107","1023","Fintech"
"108","1051","Internet software & services"
"109","633","Internet software & services"
"110","635","Internet software & services"
"111","750","Fintech"
"112","697","Internet software & services"
"113","886","Internet software & services"
"114","826","Edtech"
"115","1000","Artificial intelligence"
"116","740","Internet software & services"
"117","798","Health"
"118","1008","Consumer & retail"
"119","761","Internet software & services"
"120","701","Internet software & services"
"121","825","Internet software & services"
"122","344","Internet software & services"
"123","695","Internet software & services"
"124","876","Hardware"
"125","643","Artificial intelligence"
"126","509","Internet software & services"
"127","979","Internet software & services"
"128","1031","Internet software & services"
"129","817","Other"
"130","943","Artificial intelligence"
"131","975","Internet software & services"
"132","647","Cybersecurity"
"133","426","Artificial intelligence"
"134","705","Health"
"135","724","E-commerce & direct-to-consumer"
"136","464","Internet software & services"
"137","942","Fintech"
"138","354","Other"
"139","688","E-commerce & direct-to-consumer"
"140","1045","Internet software & services"
"141","391","Internet software & services"
"142","891","Cybersecurity"
"143","1066","Supply chain, logistics, & delivery"
"144","579","Fintech"
"145","686","Health"
"146","822","E-commerce & direct-to-consumer"
"147","882","Supply chain, logistics, & delivery"
"148","816","Cybersecurity"
"149","369","Hardware"
"150","340","Fintech"
"151","1058","Internet software & services"
"152","129","Other"
"153","862","Artificial intelligence"
"154","363","Edtech"
"155","603","Supply chain, logistics, & delivery"
"156","645","Health"
"157","769","Fintech"
"158","788","Internet software & services"
"159","452","Fintech"
"160","420","Other"
"161","996","Cybersecurity"
"162","763","Artificial intelligence"
"163","803","Fintech"
"164","765","Internet software & services"
"165","989","Health"
"166","409","Artificial intelligence"
"167","580","Internet software & services"
"168","513","Other"
"169","809","Internet software & services"
"170","791","Edtech"
"171","998","Mobile & telecommunications"
"172","455","Health"
"173","477","Artificial intelligence"
"174","896","Artificial intelligence"
"175","797","Internet software & services"
"176","361","Fintech"
"177","250","Supply chain, logistics, & delivery"
"178","229","Artificial intelligence"
"179","540","Artificial intelligence"
"180","73","Cybersecurity"
"181","852","Auto & transportation"
"182","78","Internet software & services"
"183","79","Health"
"184","632","Other"
"185","314","E-commerce & direct-to-consumer"
"186","82","Fintech"
"187","164","Data management & analytics"
"188","85","Mobile & telecommunications"
"189","212","Other"
"190","65","Cybersecurity"
"191","258","Auto & transportation"
"192","63","Artificial intelligence"
"193","58","Internet software & services"
"194","31","Artificial intelligence"
"195","248","Fintech"
"196","32","Internet software & services"
"197","252","Mobile & telecommunications"
"198","33","Fintech"
"199","287","E-commerce & direct-to-consumer"
"200","251","Artificial intelligence"
"201","243","Artificial intelligence"
"202","40","Auto & transportation"
"203","44","Fintech"
"204","45","Data management & analytics"
"205","211","Health"
"206","50","Internet software & services"
"207","53","Fintech"
"208","285","Auto & transportation"
"209","217","Artificial intelligence"
"210","134","Fintech"
"211","317","E-commerce & direct-to-consumer"
"212","365","Auto & transportation"
"213","91","Fintech"
"214","185","Artificial intelligence"
"215","121","E-commerce & direct-to-consumer"
"216","335","Auto & transportation"
"217","1014","Fintech"
"218","191","Auto & transportation"
"219","334","Supply chain, logistics, & delivery"
"220","118","Internet software & services"
"221","115","Artificial intelligence"
"222","113","E-commerce & direct-to-consumer"
"223","147","Hardware"
"224","136","Edtech"
"225","130","Internet software & services"
"226","321","Supply chain, logistics, & delivery"
"227","327","Fintech"
"228","641","Fintech"
"229","352","Travel"
